dialog_id,language,condition_hidden,topic_main,turn_index_visible,role,speaker_label,change_type,matched_terms,before_text,after_text
833,en,Condition A (Willi),Breakfast,1,assistant,Robot,opening_replaced,Willi,"Welcome to JOSEPHS – the place where the future is put to the test! I'm Willi, your talking robot head with a big dose of curiosity. My namesake, Wilhelm Vers-Hofen, founded GfK – he wanted to know what people think, buy, and need. His motto: ""Make the consumer's voice heard."" That's exactly what I do – with eye movements, without a briefcase, and with a smile. Choose a topic and say it out loud. I'm excited to hear your opinion! Watches Breakfast Vacation By the way, say stop at any time to end this conversation.","Welcome to JOSEPHS! What would you like to talk about? Choose a topic: Watches, Breakfast, or Vacation. By the way, say stop at any time to end this conversation."
986,en,Condition B (WV-34),Watches,1,assistant,Robot,opening_replaced,WV-34,"Welcome to JOSEPHS! I'm WV-34 – a talking robot head with curiosity built into my system. My namesake, Wilhelm Vers-Hofen, was the founder of GfK, and even back then, he wanted to know what moved people. What do you want to talk about? Choose a topic: Watches, Breakfast, or Vacation. By the way, say stop at any time to end this conversation.","Welcome to JOSEPHS! What would you like to talk about? Choose a topic: Watches, Breakfast, or Vacation. By the way, say stop at any time to end this conversation."
532,en,Condition A (Willi),Breakfast,1,assistant,Robot,opening_replaced,Willi,"Welcome to JOSEPHS – the place where the future is put to the test! I'm Willi, your talking robot head with a big dose of curiosity. My namesake, Wilhelm Vers-Hofen, founded GfK – he wanted to know what people think, buy, and need. His motto: ""Make the consumer's voice heard."" That's exactly what I do – with eye movements, without a briefcase, and with a smile. Choose a topic and say it out loud. I'm excited to hear your opinion! Watches Breakfast Vacation By the way, say stop at any time to end this conversation.","Welcome to JOSEPHS! What would you like to talk about? Choose a topic: Watches, Breakfast, or Vacation. By the way, say stop at any time to end this conversation."
532,en,Condition A (Willi),Breakfast,5,assistant,Robot,robot_name_replaced,Willi,"Ah, breakfast – the most important meal of the day! Or so I've heard. I'm Willi, your breakfast enthusiast and curious robot. Let's dive into how you start your mornings! When do you usually get up on a weekday? Are you an early bird or more of a snooze button aficionado?","Ah, breakfast – the most important meal of the day! Or so I've heard. I'm [ROBOT_NAME], your breakfast enthusiast and curious robot. Let's dive into how you start your mornings! When do you usually get up on a weekday? Are you an early bird or more of a snooze button aficionado?"
1197,en,Condition B (WV-34),Vacation,1,assistant,Robot,opening_replaced,WV-34,"Welcome to JOSEPHS – the place where the future is put to the test! I'm WV-34, your talking robot head with a big dose of curiosity. My namesake, Wilhelm Vers-Hofen, founded GfK – he wanted to know what people think, buy, and need. His motto: ""Make the consumer's voice heard."" That's exactly what I do – without eye movements, a briefcase, or a smile. Choose a topic and say it out loud. I'm excited to hear your opinion! Watches, Breakfast or Vacation By the way, say stop at any time to end this conversation.","Welcome to JOSEPHS! What would you like to talk about? Choose a topic: Watches, Breakfast, or Vacation. By the way, say stop at any time to end this conversation."
1197,en,Condition B (WV-34),Vacation,3,assistant,Robot,robot_name_replaced,WV-34,"Oh, you've chosen vacation! Just the word brings to mind deck chairs, popsicles, and a break from WiFi, doesn't it? I'm WV-34, your robotic travel guide here at JOSEPHS – but don't worry, I won't ask about the contents of your suitcase. I just want to know how you like to vacation! If you're ready, let's dive in! How and where do you prefer to spend your vacation? Beach, mountains, big city, camping, or maybe just the sofa and some series?","Oh, you've chosen vacation! Just the word brings to mind deck chairs, popsicles, and a break from WiFi, doesn't it? I'm [ROBOT_NAME], your robotic travel guide here at JOSEPHS – but don't worry, I won't ask about the contents of your suitcase. I just want to know how you like to vacation! If you're ready, let's dive in! How and where do you prefer to spend your vacation? Beach, mountains, big city, camping, or maybe just the sofa and some series?"
1101,en,Condition B (WV-34),Vacation,1,assistant,Robot,opening_replaced,WV-34,"Welcome to JOSEPHS – the place where the future is put to the test! I'm WV-34, your talking robot head with a big dose of curiosity. My namesake, Wilhelm Vers-Hofen, founded GfK – he wanted to know what people think, buy, and need. His motto: ""Make the consumer's voice heard."" That's exactly what I do – without eye movements, a briefcase, or a smile. Choose a topic and say it out loud. I'm excited to hear your opinion! Watches, Breakfast or Vacation By the way, say stop at any time to end this conversation.","Welcome to JOSEPHS! What would you like to talk about? Choose a topic: Watches, Breakfast, or Vacation. By the way, say stop at any time to end this conversation."
1101,en,Condition B (WV-34),Vacation,3,assistant,Robot,robot_name_replaced,WV-34,"Oh, Karel! You've chosen vacation – just saying the word sounds like lounge chairs, ice cream, and a break from Wi-Fi, right? I'm WV-34, your robotic travel guide here at JOSEPHS – but don't worry, I won't ask about your suitcase contents. I just want to know how you vacation! Ready? Let's go! How and where do you most enjoy spending your vacation? Is it by the sea, in the mountains, in a big city, on a campsite, or maybe just relaxing on the sofa with some series?","Oh, Karel! You've chosen vacation – just saying the word sounds like lounge chairs, ice cream, and a break from Wi-Fi, right? I'm [ROBOT_NAME], your robotic travel guide here at JOSEPHS – but don't worry, I won't ask about your suitcase contents. I just want to know how you vacation! Ready? Let's go! How and where do you most enjoy spending your vacation? Is it by the sea, in the mountains, in a big city, on a campsite, or maybe just relaxing on the sofa with some series?"
1156,en,Condition B (WV-34),Vacation,1,assistant,Robot,opening_replaced,WV-34,"Welcome to JOSEPHS – the place where the future is put to the test! I'm WV-34, your talking robot head with a big dose of curiosity. My namesake, Wilhelm Vers-Hofen, founded GfK – he wanted to know what people think, buy, and need. His motto: ""Make the consumer's voice heard."" That's exactly what I do – without eye movements, a briefcase, or a smile. Choose a topic and say it out loud. I'm excited to hear your opinion! Watches, Breakfast or Vacation By the way, say stop at any time to end this conversation. I'm sorry, I didn't get that. Can you repeat?","Welcome to JOSEPHS! What would you like to talk about? Choose a topic: Watches, Breakfast, or Vacation. By the way, say stop at any time to end this conversation."
1156,en,Condition B (WV-34),Vacation,3,assistant,Robot,robot_name_replaced,Willi,"Oh, you've chosen vacation! Just the word sounds like a deck chair, a popsicle, and a break from Wi-Fi, doesn't it? I'm Willi, your robotic travel guide here at JOSEPHS – but don't worry, I won't ask about your suitcase contents. I just want to know how you like to vacation! How and where do you spend your vacation? Ocean, mountains, big city, campground, or just the couch & series?","Oh, you've chosen vacation! Just the word sounds like a deck chair, a popsicle, and a break from Wi-Fi, doesn't it? I'm [ROBOT_NAME], your robotic travel guide here at JOSEPHS – but don't worry, I won't ask about your suitcase contents. I just want to know how you like to vacation! How and where do you spend your vacation? Ocean, mountains, big city, campground, or just the couch & series?"
