date,condition,visitors,interactions,interaction_fraction
2025-06-20,Condition A (Willi),10,4,0.4
2025-06-21,Condition A (Willi),8,6,0.75
2025-06-22,Condition A (Willi),6,3,0.5
2025-06-26,Condition A (Willi),2,3,1.5
2025-06-27,Condition A (Willi),112,13,0.11607142857142858
2025-06-28,Condition A (Willi),99,10,0.10101010101010101
2025-06-29,Condition A (Willi),18,6,0.3333333333333333
2025-07-01,Condition A (Willi),19,9,0.47368421052631576
2025-07-02,Condition A (Willi),50,12,0.24
2025-07-03,Condition A (Willi),74,6,0.08108108108108109
2025-07-04,Condition A (Willi),15,11,0.7333333333333333
2025-07-06,Condition A (Willi),28,7,0.25
2025-07-07,Condition A (Willi),25,8,0.32
2025-07-08,Condition A (Willi),35,4,0.11428571428571428
2025-07-09,Condition A (Willi),20,7,0.35
2025-07-12,Condition A (Willi),30,15,0.5
2025-07-13,Condition A (Willi),2,1,0.5
2025-07-17,Condition A (Willi),21,3,0.14285714285714285
2025-07-18,Condition A (Willi),8,5,0.625
2025-07-19,Condition A (Willi),9,3,0.3333333333333333
2025-07-23,Condition A (Willi),21,9,0.42857142857142855
2025-07-24,Condition A (Willi),46,14,0.30434782608695654
2025-07-25,Condition A (Willi),16,4,0.25
2025-07-26,Condition A (Willi),16,5,0.3125
2025-07-27,Condition A (Willi),36,11,0.3055555555555556
2025-07-30,Condition A (Willi),33,7,0.21212121212121213
2025-08-01,Condition A (Willi),10,2,0.2
2025-08-02,Condition A (Willi),41,10,0.24390243902439024
2025-08-03,Condition A (Willi),47,18,0.3829787234042553
2025-08-06,Condition A (Willi),23,9,0.391304347826087
2025-08-07,Condition A (Willi),16,7,0.4375
2025-08-08,Condition A (Willi),13,2,0.15384615384615385
2025-08-09,Condition A (Willi),11,7,0.6363636363636364
2025-08-10,Condition A (Willi),13,3,0.23076923076923078
2025-08-13,Condition A (Willi),18,7,0.3888888888888889
2025-08-14,Condition A (Willi),13,4,0.3076923076923077
2025-08-15,Condition A (Willi),8,4,0.5
2025-08-16,Condition A (Willi),14,4,0.2857142857142857
2025-08-17,Condition A (Willi),30,5,0.16666666666666666
2025-08-20,Condition A (Willi),9,4,0.4444444444444444
2025-08-21,Condition A (Willi),6,4,0.6666666666666666
2025-08-22,Condition A (Willi),10,8,0.8
2025-08-23,Condition A (Willi),13,4,0.3076923076923077
2025-08-24,Condition A (Willi),19,7,0.3684210526315789
2025-08-27,Condition A (Willi),18,10,0.5555555555555556
2025-08-28,Condition A (Willi),14,5,0.35714285714285715
2025-08-29,Condition A (Willi),15,5,0.3333333333333333
2025-08-30,Condition A (Willi),27,6,0.2222222222222222
2025-08-31,Condition A (Willi),12,3,0.25
2025-09-03,Condition A (Willi),31,17,0.5483870967741935
2025-09-04,Condition A (Willi),15,11,0.7333333333333333
2025-09-05,Condition A (Willi),1,1,1.0
2025-09-06,Condition A (Willi),21,5,0.23809523809523808
2025-09-07,Condition A (Willi),16,4,0.25
2025-09-10,Condition A (Willi),10,5,0.5
2025-09-11,Condition A (Willi),19,5,0.2631578947368421
2025-09-12,Condition A (Willi),19,6,0.3157894736842105
2025-09-13,Condition A (Willi),8,3,0.375
2025-09-14,Condition A (Willi),5,2,0.4
2025-09-19,Condition A (Willi),21,8,0.38095238095238093
2025-09-20,Condition A (Willi),44,9,0.20454545454545456
2025-09-21,Condition A (Willi),91,16,0.17582417582417584
2025-09-25,Condition A (Willi),24,6,0.25
2025-09-26,Condition A (Willi),50,23,0.46
2025-09-27,Condition A (Willi),26,4,0.15384615384615385
2025-09-28,Condition A (Willi),28,9,0.32142857142857145
2025-10-01,Condition A (Willi),5,2,0.4
2025-10-02,Condition A (Willi),3,3,1.0
2025-10-04,Condition A (Willi),5,2,0.4
2025-10-05,Condition A (Willi),18,5,0.2777777777777778
2025-10-08,Condition A (Willi),14,4,0.2857142857142857
2025-10-09,Condition A (Willi),4,3,0.75
2025-10-10,Condition A (Willi),12,7,0.5833333333333334
2025-10-11,Condition A (Willi),23,8,0.34782608695652173
2025-10-12,Condition A (Willi),13,7,0.5384615384615384
2025-10-15,Condition A (Willi),9,5,0.5555555555555556
2025-10-17,Condition A (Willi),9,1,0.1111111111111111
2025-10-19,Condition A (Willi),16,9,0.5625
2025-10-22,Condition A (Willi),25,4,0.16
2025-10-23,Condition A (Willi),3,1,0.3333333333333333
2025-10-25,Condition A (Willi),550,50,0.09090909090909091
2025-10-30,Condition B (WV-34),8,11,1.375
2025-10-31,Condition B (WV-34),6,5,0.8333333333333334
2025-11-02,Condition B (WV-34),45,12,0.26666666666666666
2025-11-05,Condition B (WV-34),30,10,0.3333333333333333
2025-11-06,Condition B (WV-34),20,4,0.2
2025-11-07,Condition B (WV-34),18,11,0.6111111111111112
2025-11-08,Condition B (WV-34),16,6,0.375
2025-11-09,Condition B (WV-34),29,11,0.3793103448275862
2025-11-13,Condition B (WV-34),5,5,1.0
2025-11-14,Condition B (WV-34),18,4,0.2222222222222222
2025-11-15,Condition B (WV-34),18,6,0.3333333333333333
2025-11-16,Condition B (WV-34),16,4,0.25
2025-11-21,Condition B (WV-34),74,16,0.21621621621621623
2025-11-22,Condition B (WV-34),11,3,0.2727272727272727
2025-11-23,Condition B (WV-34),16,5,0.3125
2025-11-26,Condition B (WV-34),10,1,0.1
2025-11-27,Condition B (WV-34),18,2,0.1111111111111111
2025-11-28,Condition B (WV-34),27,2,0.07407407407407407
2025-11-29,Condition B (WV-34),12,9,0.75
2025-11-30,Condition B (WV-34),6,3,0.5
2025-12-03,Condition B (WV-34),6,5,0.8333333333333334
2025-12-04,Condition B (WV-34),9,4,0.4444444444444444
2025-12-05,Condition B (WV-34),10,3,0.3
2025-12-06,Condition B (WV-34),9,4,0.4444444444444444
2025-12-07,Condition B (WV-34),12,5,0.4166666666666667
2025-12-10,Condition B (WV-34),4,4,1.0
2025-12-11,Condition B (WV-34),43,16,0.37209302325581395
2025-12-12,Condition B (WV-34),6,1,0.16666666666666666
2025-12-13,Condition B (WV-34),20,6,0.3
2025-12-14,Condition B (WV-34),19,6,0.3157894736842105
2025-12-17,Condition B (WV-34),38,10,0.2631578947368421
2025-12-18,Condition B (WV-34),32,7,0.21875
2025-12-19,Condition B (WV-34),5,4,0.8
2025-12-20,Condition B (WV-34),30,6,0.2
2025-12-21,Condition B (WV-34),20,8,0.4
2025-12-22,Condition B (WV-34),28,6,0.21428571428571427
2025-12-23,Condition B (WV-34),19,5,0.2631578947368421
2025-12-27,Condition B (WV-34),8,3,0.375
2025-12-28,Condition B (WV-34),13,6,0.46153846153846156
2025-12-29,Condition B (WV-34),19,6,0.3157894736842105
2025-12-30,Condition B (WV-34),24,6,0.25
2026-01-02,Condition B (WV-34),15,5,0.3333333333333333
2026-01-03,Condition B (WV-34),28,12,0.42857142857142855
2026-01-04,Condition B (WV-34),15,5,0.3333333333333333
2026-01-07,Condition B (WV-34),11,3,0.2727272727272727
2026-01-08,Condition B (WV-34),3,1,0.3333333333333333
2026-01-14,Condition B (WV-34),3,1,0.3333333333333333
2026-01-15,Condition B (WV-34),5,2,0.4
2026-01-16,Condition B (WV-34),8,2,0.25
2026-01-17,Condition B (WV-34),13,6,0.46153846153846156
2026-01-18,Condition B (WV-34),7,1,0.14285714285714285
2026-01-22,Condition B (WV-34),9,6,0.6666666666666666
2026-01-23,Condition B (WV-34),18,4,0.2222222222222222
2026-01-24,Condition B (WV-34),26,9,0.34615384615384615
2026-01-25,Condition B (WV-34),15,3,0.2
2026-01-30,Condition B (WV-34),9,7,0.7777777777777778
