metric,metric_type,model_family,n_used,condition_b_vs_a_coef,condition_b_vs_a_pvalue,r_squared,condition_b_vs_a_odds_ratio,pseudo_r_squared
feedback,continuous,OLS,572,-0.045084573365366185,0.6359596434055793,0.005237418818926254,,
num_distinct_topics,continuous,OLS,1100,0.022147725077367397,0.42939854896593677,0.019975626070431574,,
num_exchanges,continuous,OLS,1100,0.36027376717458703,0.2444504137860316,0.014701751538908958,,
total_messages,continuous,OLS,1100,1.3122600400063313,0.03395542780917233,0.017920911580120436,,
num_user_messages,continuous,OLS,1100,0.36027376717458703,0.2444504137860316,0.014701751538908958,,
num_assistant_messages,continuous,OLS,1100,0.3602737671745838,0.24445041378603574,0.01470175153890907,,
turn_balance_user_over_assistant,continuous,OLS,1100,0.007449607958470306,0.2828685446308357,0.01355225866395715,,
total_words_conversation,continuous,OLS,1100,34.112561775759126,0.06448392660821757,0.006315507780398466,,
total_user_words,continuous,OLS,1100,10.313972184387522,0.009374426874791477,0.013650453459023049,,
total_assistant_words,continuous,OLS,1100,23.798589591371503,0.11930800521760551,0.005186088270701883,,
avg_user_words_per_message,continuous,OLS,1100,0.6604533710212046,0.02617177911162517,0.02195853114597701,,
avg_assistant_words_per_message,continuous,OLS,1100,1.0655843776568856,0.06140169703716608,0.0501607863580249,,
avg_assistant_sentences_per_message,continuous,OLS,1100,-0.058021321536545586,0.2940641607951772,0.02534699369139881,,
avg_user_words_per_sentence,continuous,OLS,1100,0.6604533710212046,0.02617177911162517,0.02195853114597701,,
avg_assistant_words_per_sentence,continuous,OLS,1100,0.27612292812632167,1.590239569797359e-05,0.045681577975501764,,
lexical_diversity_user,continuous,OLS,1100,-0.015061882683174928,0.057823258795970625,0.01639730358047875,,
lexical_diversity_conversation,continuous,OLS,1100,-0.005512740117043438,0.3798193980917568,0.006768476214391694,,
first_person_pronouns_user,continuous,OLS,1100,0.9701194563755626,0.004556972556083099,0.017638621440609903,,
second_person_pronouns_user,continuous,OLS,1100,0.5435672035113979,0.0026325256200315102,0.019707720580324217,,
assistant_question_rate,continuous,OLS,1100,0.0008699247356371329,0.9101163973328499,0.0001221040261736306,,
assistant_exclamation_rate,continuous,OLS,1100,-0.014673777802650211,0.062010840487536564,0.008728884636191592,,
politeness_marker_count_conversation,continuous,OLS,1100,-0.040050937029453754,0.5842401004907303,0.0018697141960958286,,
assistant_clarification_count,continuous,OLS,1100,-0.352667777283604,1.268185581274854e-08,0.03641961283014661,,
assistant_repair_count,continuous,OLS,1100,-0.352667777283604,1.268185581274854e-08,0.03641961283014661,,
assistant_repeated_fallback_count,continuous,OLS,1100,-0.4530975363939312,4.779893250049317e-09,0.03450963343767399,,
topic_switching_frequency,continuous,OLS,1100,0.02278894365864344,0.41317598911214315,0.020554567223204145,,
dialogact_greeting_count,continuous,OLS,1100,0.04419490572087576,0.8008476638915212,0.03993632253021728,,
dialogact_farewell_count,continuous,OLS,1100,-0.015138365912082468,0.2755540914475793,0.0021832617202901528,,
dialogact_question_count,continuous,OLS,1100,0.5890013824015933,0.004206107591816933,0.0826970070331291,,
dialogact_answer_count,continuous,OLS,1100,0.22067369261121497,0.37110503613758394,0.019591815104346044,,
dialogact_clarification_count,continuous,OLS,1100,-0.18697051192278077,3.52692978405277e-06,0.026736626353091375,,
dialogact_refusal_count,continuous,OLS,1100,0.14082858185283287,0.026348559002754634,0.014480872723582117,,
dialogact_topic_selection_count,continuous,OLS,1100,-0.06816071568829117,0.07319093862630806,0.03747206112791124,,
dialogact_acknowledgment_count,continuous,OLS,1100,-0.018598211657439988,0.5227028218830401,0.08667056288543118,,
multi_topic_conversation,binary,Logit,1100,0.22239708039046152,0.1708834997187022,,1.2490672595204502,0.022329362380666185
num_system_messages,binary,Logit,1100,24.20637560309718,0.9973264687339297,,32560821336.893974,0.37108008791446956
assistant_repetition_count,binary,Logit,1100,1.1861240447908838,0.09520017732353006,,3.2743652869429076,0.049549767543013434
user_divergence_marker_count,binary,Logit,1100,0.07889556849127626,0.9313710985881969,,1.0820913117412359,0.05502924791086927
completion_proxy,binary,Logit,1100,-0.03284511870278982,0.8016978730016986,,0.9676884248216032,0.014345229671712145
early_dropoff,binary,Logit,1100,-0.2883255208298923,0.13820224161307346,,0.749517568942802,0.012217007065727259
