id,timestamp,date,condition,feedback,chosen_topic,n_annotated_turns,n_user_turns,n_assistant_turns,llm_engagement_score,llm_frustration_score,llm_naturalness_score,llm_mean_disclosure,llm_max_disclosure,llm_any_substantive_disclosure,llm_user_disclosure_turn_count,llm_mean_offtopic_score,llm_offtopic_user_turn_proportion,llm_weakly_related_user_turn_proportion,llm_any_offtopic_divergence,llm_assistant_response_quality_mean,llm_assistant_response_quality_min,llm_assistant_repair_quality_mean,llm_assistant_repair_turn_count,llm_user_refusal_count,llm_user_offtopic_move_count,llm_assistant_clarification_count,llm_assistant_repair_count,llm_closing_count,llm_dialogact_greeting_count,llm_dialogact_topic_selection_count,llm_dialogact_question_count,llm_dialogact_answer_count,llm_dialogact_clarification_request_count,llm_dialogact_acknowledgment_count,llm_dialogact_refusal_rejection_count,llm_dialogact_self_disclosure_count,llm_dialogact_opinion_evaluation_count,llm_dialogact_off_topic_move_count,llm_dialogact_repair_correction_count,llm_dialogact_closing_farewell_count,llm_dialogact_other_count
1,2025-05-30 07:45:49,2025-05-30,Condition A (Willi),,Watches,27,13,14,5,1,4,0.8461538461538461,2.0,0,1,0.0,0.0,0.0,0,4.0,3.0,,0,1,0,0,0,2,1,2,10,10,0,1,1,0,0,0,0,2,0
3,2025-06-02 08:32:33,2025-06-02,Condition A (Willi),,Unknown,5,2,3,2,1,2,0.5,1.0,0,0,1.0,1.0,0.0,1,3.0,2.0,2.5,2,1,1,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0
6,2025-06-02 08:39:23,2025-06-02,Condition A (Willi),,Watches,31,15,16,4,1,4,1.0,2.0,0,4,0.06666666666666667,0.0,0.13333333333333333,0,,,,0,1,0,0,0,1,1,2,11,13,1,0,1,0,0,1,0,1,0
7,2025-06-02 08:53:43,2025-06-02,Condition A (Willi),,Watches,7,3,4,3,3,3,2.0,4.0,1,2,1.0,1.0,0.0,1,3.75,3.0,3.3333333333333335,3,1,0,0,0,0,1,1,0,0,0,0,3,1,0,1,0,0,0
8,2025-06-05 11:18:42,2025-06-05,Condition A (Willi),,Breakfast,17,8,9,4,1,2,1.375,2.0,0,4,0.0625,0.0,0.125,0,3.7777777777777777,2.0,3.0,1,0,0,0,1,0,1,1,6,6,0,0,0,0,0,1,2,0,0
9,2025-06-05 11:34:57,2025-06-05,Condition A (Willi),,Watches,13,6,7,3,1,2,0.8333333333333334,2.0,0,1,0.16666666666666666,0.0,0.3333333333333333,0,3.857142857142857,2.0,,0,0,0,0,0,0,0,1,4,5,0,0,0,1,0,0,0,0,2
10,2025-06-05 12:15:16,2025-06-05,Condition A (Willi),,Breakfast,47,23,24,4,2,3,0.9565217391304348,3.0,1,5,0.08695652173913043,0.043478260869565216,0.08695652173913043,1,3.625,2.0,2.5,2,0,0,1,0,5,0,1,16,19,2,2,0,0,0,1,0,5,1
11,2025-06-05 12:32:45,2025-06-05,Condition A (Willi),,Vacation,19,9,10,4,1,3,1.0,2.0,0,4,0.1111111111111111,0.0,0.2222222222222222,0,3.9,3.0,,0,0,0,0,0,0,0,4,5,2,1,1,0,5,0,0,0,0,1
12,2025-06-05 13:09:43,2025-06-05,Condition A (Willi),,Vacation,29,14,15,4,2,3,0.6428571428571429,2.0,0,3,0.21428571428571427,0.07142857142857142,0.2857142857142857,1,3.466666666666667,2.0,3.0,2,1,0,1,0,5,1,1,7,7,4,2,1,1,0,0,0,5,0
13,2025-06-05 13:17:09,2025-06-05,Condition A (Willi),,Breakfast,21,10,11,4,1,4,0.7,2.0,0,1,0.2,0.2,0.0,1,4.636363636363637,2.0,2.0,1,1,0,0,1,1,1,2,6,6,0,1,1,0,0,1,2,1,0
