Interaction ID,Combined User Messages,Personalness,Engagement,Positiveness,Politeness
833,breakfast | how early bird | no probably 30 minutes | share it with family | no no I do I do my own breakfast | something healthier I have oatmeal usually with fruits,6,7,8,5
391,Frühstück | gegen 6 Uhr | nur schnell was | normalerweise esse ich allein | ich bereite mein Frühstück selbst zu | Brot mit Schinken und manchmal Ei | sonntags gibt es Nutella oder andere Creme aber abgesehen davon nicht | präsentiert werden oder abfallen Frieden,7,6,5,8
658,ich möchte mich mit dir über Uhren unterhalten | ja selbstverständlich nutze ich schon noch eine Uhr nutze ich du Uhren | ich besitze eine SmartWatch | eine Apple watch | ach ich weiß nicht ich habe gar keine Lust mehr mich mit dir über das Thema zu unterhalten | nein ich möchte mich gar nicht mehr mit dir unterhalten Willi,6,5,3,4
986,I want to talk about watches | yes I I still use physical watches and I'm very interested in buying a new | I own one it's quite minimalistic nothing nothing vintage nothing new | no I don't have a voice right now,7,6,5,8
495,Frühstück | kein Feuervogel er Ute Teppich | gemütlich mit Blick aus dem Fenster | Familie Familie,6,5,7,8
972,Urlaub | an der Adria | ja ja | in Schondorf | Familienbesuch | Lederhose,6,8,8,7
861,ich würde gerne über Urlaub sprechen | er am Meer würde ich sagen | in Bayern in Bayern nein tatsächlich noch nicht hast du Empfehlungen | wo ich noch war oder ich war in Spanien | das Essen tatsächlich Sangria auch und natürlich die Sonne | überhaupt nicht,6,7,8,9
28,Frühstück würde ich gerne reden | ich stehe meistens sehr früh auf | ich lasse mir dann meistens sehr viel Zeit zum Frühstück deswegen stehe ich so früh auf | ja gerne ich frühstücke meistens mit meiner Katze | ich bereite selbst zu | ich esse am liebsten Brot mit Marmelade | ich bleibe eigentlich mein Brot Tutorial | nein danke passt,7,8,9,6
639,Frühstück oder Urlaub | mehr am Meer am Meer | ja | beim Wandern mit Brezel | Wellness mit Aussicht | super super | die schönen Pflanzen dort,6,7,8.5,9
272,ich will über Uhren sprechen Willi,6,4,7,8
817,Urlaub | ist eine Berge | hunderte Male | Sachrang | wandern | ich dachte immer so schnell dass ich es auch immer nicht verstanden habe,7,6,8,9
311,Frühstück | keine Energie | schnell meistens schnell | unterstellen aber da müssen sie Pastell gehen willst du was sagen | die Züge aneinander an also formulieren es wird zubereitet | alles alles | ganz anders,6,5,4,3
