dialog_id,timestamp,language,condition_hidden,condition_source,topic_main,topics_json,feedback_existing,included_in_annotation,annotation_exclusion_reason,n_messages_total,n_turns_visible,n_robot_turns,n_visitor_turns,n_system_turns_removed
833,2025-10-19 10:16:32,en,Condition A (Willi),assistant,Breakfast,"[""Breakfast""]",5,True,,15,13,7,6,2
391,2025-08-07 13:05:12,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,18,17,9,8,1
658,2025-09-14 12:48:05,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",2,True,,15,13,7,6,2
986,2025-11-08 15:47:58,en,Condition B (WV-34),assistant,Watches,"[""Watches"", ""Uhren""]",4,True,,11,9,5,4,2
495,2025-08-24 12:08:57,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",5,True,,10,9,5,4,1
972,2025-11-07 13:19:31,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",3,True,,15,13,7,6,2
861,2025-10-25 15:58:23,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,15,13,7,6,2
28,2025-06-11 11:56:32,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,18,17,9,8,1
639,2025-09-11 12:21:00,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,17,15,8,7,2
272,2025-07-23 10:34:28,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,4,3,2,1,1
817,2025-10-15 13:30:00,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",2,True,,15,13,7,6,2
311,2025-07-27 12:33:35,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,16,15,8,7,1
198,2025-07-09 15:52:21,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,22,21,11,10,1
326,2025-07-28 16:08:50,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück"", ""Urlaub""]",,True,,26,25,13,12,1
616,2025-09-04 14:06:45,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,21,19,10,9,2
320,2025-07-27 14:32:14,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,20,19,10,9,1
532,2025-08-28 11:22:04,en,Condition A (Willi),assistant,Breakfast,"[""waiting_for_choice"", ""Breakfast"", ""Frühstück""]",4,True,,19,17,9,8,2
22,2025-06-11 09:43:57,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,14,13,7,6,1
1074,2025-11-29 12:00:44,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",5,True,,37,35,18,17,2
353,2025-08-02 14:27:27,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,22,21,11,10,1
112,2025-06-28 12:25:05,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,16,15,8,7,1
939,2025-11-02 11:41:39,de,Condition B (WV-34),assistant,Watches,"[""Uhren""]",3,True,,9,7,4,3,2
1197,2025-12-22 13:17:03,en,Condition B (WV-34),assistant,Vacation,"[""Vacation""]",5,True,,21,19,10,9,2
1101,2025-12-05 12:21:29,en,Condition B (WV-34),assistant,Vacation,"[""Vacation"", ""Urlaub""]",4,True,,13,11,6,5,2
785,2025-10-08 15:15:34,de,Condition A (Willi),assistant,Watches,"[""Keine Auswahl"", ""Uhren""]",3,True,,15,13,7,6,2
412,2025-08-10 10:13:31,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,16,15,8,7,1
624,2025-09-06 13:32:35,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Urlaub"", ""Frühstück""]",,True,,37,35,18,17,2
1156,2025-12-14 15:27:26,en,Condition B (WV-34),assistant,Vacation,"[""Vacation""]",,True,,5,3,2,1,2
1041,2025-11-21 13:09:14,en,Condition B (WV-34),assistant,Watches,"[""Uhren"", ""Breakfast"", ""General""]",3,True,,21,19,10,9,2
125,2025-07-01 10:36:53,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,16,15,8,7,1
969,2025-11-07 11:44:09,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",5,True,,21,19,10,9,2
772,2025-10-05 11:24:42,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,25,23,12,11,2
426,2025-08-14 15:32:12,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,18,17,9,8,1
1136,2025-12-11 13:47:10,en,Condition B (WV-34),assistant,Vacation,"["""", ""Urlaub"", ""none""]",1,True,,13,11,6,5,2
288,2025-07-24 11:42:05,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,22,21,11,10,1
716,2025-09-25 12:59:36,de,Condition A (Willi),assistant,Breakfast,"[""N/A"", """", ""Frühstück""]",,True,,13,11,6,5,2
662,2025-09-16 09:32:52,en,Condition A (Willi),assistant,Watches,"[""Watches"", ""Uhren""]",1,True,,13,11,6,5,2
946,2025-11-02 14:01:56,de,Condition B (WV-34),assistant,Vacation,"["""", ""Urlaub"", ""Uhren"", ""Frühstück""]",4,True,,45,43,22,21,2
61,2025-06-25 11:26:06,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück"", ""Urlaub"", ""Uhren"", ""Abschluss""]",,True,,50,49,25,24,1
363,2025-08-03 13:25:58,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,18,17,9,8,1
135,2025-07-02 09:51:20,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,22,21,11,10,1
789,2025-10-09 09:49:51,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,11,9,5,4,2
72,2025-06-25 14:48:06,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,14,13,7,6,1
835,2025-10-19 11:27:45,de,Condition A (Willi),assistant,Vacation,"[""Urlaub"", ""Uhren""]",5,True,,27,25,13,12,2
1030,2025-11-17 15:59:45,en,Condition B (WV-34),assistant,Breakfast,"[""Frühstück"", ""Breakfast""]",4,True,,11,9,5,4,2
248,2025-07-18 10:57:44,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,6,5,3,2,1
621,2025-09-06 12:17:10,en,Condition A (Willi),assistant,Watches,"[""Watches"", ""Uhren""]",4,True,,15,13,7,6,2
748,2025-09-27 14:43:41,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",4,True,,13,11,6,5,2
161,2025-07-04 15:26:06,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,6,5,3,2,1
1121,2025-12-10 16:29:33,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",5,True,,9,7,4,3,2
188,2025-07-08 16:35:40,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,22,21,11,10,1
1198,2025-12-22 13:57:21,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",5,True,,11,9,5,4,2
1204,2025-12-23 14:06:46,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",5,True,,13,11,6,5,2
852,2025-10-24 15:24:42,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,15,13,7,6,2
456,2025-08-22 12:05:13,en,Condition A (Willi),assistant,Watches,"[""Watches"", ""Uhren""]",5,True,,15,13,7,6,2
524,2025-08-27 14:02:59,en,Condition A (Willi),assistant,Breakfast,"[""Breakfast"", ""Frühstück""]",5,True,,19,17,9,8,2
133,2025-07-02 09:42:43,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,22,21,11,10,1
109,2025-06-28 11:20:35,de,Condition A (Willi),assistant,Vacation,"["""", ""Urlaub"", ""Frühstück""]",,True,,34,33,17,16,1
762,2025-10-01 14:13:22,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,9,7,4,3,2
1016,2025-11-14 16:24:16,de,Condition B (WV-34),assistant,Watches,"["""", ""Allgemeines Gespräch"", ""Uhren""]",3,True,,15,13,7,6,2
937,2025-11-02 11:21:41,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück"", ""Urlaub"", ""Uhren""]",4,True,,35,33,17,16,2
1201,2025-12-22 14:59:30,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",4,True,,11,9,5,4,2
786,2025-10-08 15:46:42,de,Condition A (Willi),assistant,Vacation,"["""", ""Urlaub""]",3,True,,19,17,9,8,2
684,2025-09-20 13:40:42,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",2,True,,13,11,6,5,2
3,2025-06-02 08:32:33,de,Condition A (Willi),assistant,Unknown,"["""", ""Technik""]",,False,Unknown topic,6,5,3,2,1
1212,2025-12-28 14:48:04,en,Condition B (WV-34),assistant,Watches,"[""Watches"", ""Uhren""]",3,True,,15,13,7,6,2
956,2025-11-05 15:43:37,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",,True,,5,3,2,1,2
1062,2025-11-23 14:44:00,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub"", ""Begrüßung"", ""Frühstück""]",2,True,,41,39,20,19,2
1254,2026-01-04 13:38:33,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",4,True,,13,11,6,5,2
182,2025-07-07 13:43:33,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,16,15,8,7,1
351,2025-08-02 13:48:17,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,36,35,18,17,1
1169,2025-12-18 12:04:39,de,Condition B (WV-34),assistant,Watches,"["""", ""Musikproduktion"", ""Beatboxing"", ""Uhren"", ""Musikproduktionen"", ""Allgemein""]",5,True,,27,25,13,12,2
301,2025-07-25 14:11:31,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,18,17,9,8,1
434,2025-08-16 13:47:49,en,Condition A (Willi),assistant,Breakfast,"[""Breakfast"", ""Frühstück""]",5,True,,19,17,9,8,2
29,2025-06-16 09:32:18,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Urlaub""]",,True,,30,29,15,14,1
386,2025-08-06 14:28:51,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,10,9,5,4,1
175,2025-07-07 10:29:09,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,4,3,2,1,1
250,2025-07-18 11:36:11,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,20,19,10,9,1
732,2025-09-26 11:05:04,en,Condition A (Willi),assistant,Breakfast,"["""", ""Frühstück"", ""Breakfast""]",,True,,25,23,12,11,2
17,2025-06-05 14:03:42,de,Condition A (Willi),assistant,Vacation,"[""Urlaub"", ""Frühstück""]",,True,,38,37,19,18,1
274,2025-07-23 10:36:55,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,4,3,2,1,1
406,2025-08-09 13:36:52,en,Condition A (Willi),assistant,Vacation,"[""Vacation"", ""Urlaub""]",4,True,,31,29,15,14,2
784,2025-10-08 13:43:42,de,Condition A (Willi),assistant,Vacation,"[""Keine Auswahl"", ""Urlaub""]",,True,,23,21,11,10,2
20,2025-06-11 09:02:56,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück"", ""Urlaub""]",,True,,32,31,16,15,1
47,2025-06-20 14:34:17,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Urlaub"", ""Frühstück""]",,True,,30,29,15,14,1
197,2025-07-09 15:48:45,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,18,17,9,8,1
352,2025-08-02 14:20:33,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,14,13,7,6,1
816,2025-10-15 11:52:28,en,Condition A (Willi),assistant,Breakfast,"["""", ""Breakfast"", ""Frühstück""]",5,True,,13,11,6,5,2
1153,2025-12-14 13:12:38,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub"", ""Uhren""]",4,True,,31,29,15,14,2
1108,2025-12-07 11:11:21,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",3,True,,13,11,6,5,2
68,2025-06-25 13:53:34,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,6,5,3,2,1
954,2025-11-05 13:32:53,de,Condition B (WV-34),assistant,Watches,"[""Uhren"", ""Frühstück""]",5,True,,29,27,14,13,2
847,2025-10-22 14:36:18,en,Condition A (Willi),assistant,Watches,"["""", ""Uhren"", ""None""]",,True,,15,13,7,6,2
671,2025-09-19 12:16:59,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",1,True,,9,7,4,3,2
821,2025-10-17 16:43:05,en,Condition A (Willi),assistant,Off-topic,"[""General"", ""Retail Economy"", ""None"", """", ""General Inquiry""]",5,True,,13,11,6,5,2
547,2025-08-29 14:43:59,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Frühstück""]",,True,,26,25,13,12,1
596,2025-09-03 14:04:30,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,4,3,2,1,1
757,2025-09-28 13:10:24,en,Condition A (Willi),assistant,Vacation,"[""Vacation"", ""Urlaub"", ""General Interaction""]",4,True,,23,21,11,10,2
389,2025-08-07 12:03:04,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,16,15,8,7,1
339,2025-07-31 10:30:18,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,18,17,9,8,1
285,2025-07-24 10:12:46,de,Condition A (Willi),assistant,Vacation,"[""Urlaub"", ""Uhren""]",,True,,46,45,23,22,1
625,2025-09-07 10:53:24,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Urlaub""]",5,True,,25,23,12,11,2
641,2025-09-11 14:10:45,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,7,5,3,2,2
33,2025-06-16 12:03:33,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück"", ""Urlaub""]",,True,,12,11,6,5,1
10,2025-06-05 12:15:16,de,Condition A (Willi),assistant,Breakfast,"["""", ""Frühstück""]",,True,,48,47,24,23,1
1034,2025-11-19 15:39:57,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",4,True,,13,11,6,5,2
1226,2025-12-30 13:28:28,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück"", ""Urlaub""]",,True,,25,23,12,11,2
731,2025-09-26 11:01:19,en,Condition A (Willi),assistant,Vacation,"[""Vacation"", ""Urlaub""]",4,True,,15,13,7,6,2
163,2025-07-04 16:04:23,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,16,15,8,7,1
819,2025-10-15 14:51:25,en,Condition A (Willi),assistant,Watches,"[""Uhren""]",4,True,,11,9,5,4,2
770,2025-10-05 10:11:50,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,5,3,2,1,2
338,2025-07-31 08:17:57,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,10,9,5,4,1
1092,2025-12-03 16:48:47,de,Condition B (WV-34),assistant,Vacation,"["""", ""Urlaub""]",,True,,19,17,9,8,2
1031,2025-11-19 13:23:15,en,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",,True,,15,13,7,6,2
774,2025-10-05 13:33:45,en,Condition A (Willi),assistant,Vacation,"[""Vacation"", ""Urlaub""]",3,True,,15,13,7,6,2
226,2025-07-12 14:40:03,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,6,5,3,2,1
122,2025-06-29 13:56:32,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,20,19,10,9,1
959,2025-11-05 17:37:39,de,Condition B (WV-34),assistant,Watches,"[""Uhren""]",5,True,,13,11,6,5,2
178,2025-07-07 12:18:42,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,6,5,3,2,1
396,2025-08-07 15:10:50,en,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Breakfast"", ""Frühstück""]",4,True,,21,19,10,9,2
728,2025-09-26 10:39:09,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,13,11,6,5,2
702,2025-09-21 14:50:12,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,19,17,9,8,2
888,2025-10-25 18:59:17,en,Condition A (Willi),assistant,Vacation,"[""Vacation""]",5,True,,7,5,3,2,2
887,2025-10-25 18:53:51,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Allgemein"", ""Essen"", ""Allgemeines Gespräch"", ""Frühstück""]",5,True,,13,11,6,5,2
1248,2026-01-03 13:47:50,de,Condition B (WV-34),assistant,Watches,"[""Uhren""]",4,True,,19,17,9,8,2
425,2025-08-14 15:21:49,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,12,11,6,5,1
1170,2025-12-18 13:58:17,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub"", """", ""Frühstück""]",5,True,,37,35,18,17,2
1011,2025-11-13 15:11:07,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",4,True,,15,13,7,6,2
139,2025-07-02 12:39:47,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,12,11,6,5,1
991,2025-11-09 11:47:49,de,Condition B (WV-34),assistant,Watches,"[""Uhren""]",4,True,,5,3,2,1,2
292,2025-07-24 14:02:41,de,Condition A (Willi),assistant,Breakfast,"["""", ""Frühstück""]",,True,,8,7,4,3,1
366,2025-08-03 13:53:45,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Frühstück""]",,True,,8,7,4,3,1
1053,2025-11-21 17:25:08,de,Condition B (WV-34),assistant,Watches,"[""Uhren"", ""Urlaub""]",,True,,49,47,24,23,2
1148,2025-12-13 14:15:55,en,Condition B (WV-34),assistant,Vacation,"[""Vacation""]",3,True,,7,5,3,2,2
1196,2025-12-22 12:22:36,de,Condition B (WV-34),assistant,Watches,"[""Uhren""]",5,True,,19,17,9,8,2
896,2025-10-25 20:31:48,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,11,9,5,4,2
680,2025-09-20 12:25:57,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,9,7,4,3,2
453,2025-08-21 16:41:57,en,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,15,13,7,6,2
299,2025-07-25 10:37:31,de,Condition A (Willi),assistant,Watches,"["""", ""Uhren""]",,True,,10,9,5,4,1
410,2025-08-09 14:57:50,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",5,True,,10,9,5,4,1
1005,2025-11-12 14:20:47,de,Condition B (WV-34),assistant,Vacation,"["""", ""Urlaub"", ""Medien""]",,True,,27,25,13,12,2
1231,2026-01-02 12:37:28,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub"", ""Frühstück""]",3,True,,31,29,15,14,2
965,2025-11-06 13:56:32,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",,True,,17,15,8,7,2
622,2025-09-06 13:05:04,en,Condition A (Willi),assistant,Vacation,"[""Vacation"", ""Urlaub""]",5,True,,15,13,7,6,2
689,2025-09-21 10:47:29,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",1,True,,21,19,10,9,2
217,2025-07-12 12:20:02,de,Condition A (Willi),assistant,Watches,"[""Uhren""]",,True,,14,13,7,6,1
297,2025-07-24 16:04:09,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,22,21,11,10,1
1052,2025-11-21 17:21:11,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",4,True,,19,17,9,8,2
38,2025-06-17 11:45:51,de,Condition A (Willi),assistant,Breakfast,"[""Auswahl"", ""Frühstück""]",,True,,24,23,12,11,1
1043,2025-11-21 16:30:54,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",5,True,,9,7,4,3,2
379,2025-08-06 11:40:32,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,16,15,8,7,1
1199,2025-12-22 14:02:06,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",5,True,,17,15,8,7,2
740,2025-09-26 12:55:32,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,11,9,5,4,2
909,2025-10-27 09:19:17,de,Condition B (WV-34),assistant,Unknown,"[""""]",5,False,Unknown topic,5,3,2,1,2
942,2025-11-02 11:58:25,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück""]",,True,,13,11,6,5,2
854,2025-10-25 15:12:09,de,Condition A (Willi),assistant,Vacation,"["""", ""Urlaub""]",,True,,15,13,7,6,2
1157,2025-12-16 09:42:10,de,Condition B (WV-34),assistant,Vacation,"[""Urlaub""]",4,True,,5,3,2,1,2
269,2025-07-21 11:40:19,de,Condition A (Willi),assistant,Vacation,"[""allgemein"", ""Urlaub""]",,True,,6,5,3,2,1
961,2025-11-05 17:47:07,de,Condition B (WV-34),assistant,Watches,"[""Uhren""]",4,True,,17,15,8,7,2
170,2025-07-06 13:19:41,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,24,23,12,11,1
922,2025-10-30 10:59:13,de,Condition B (WV-34),assistant,Watches,"[""Uhren""]",1,True,,7,5,3,2,2
479,2025-08-23 11:14:07,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,20,19,10,9,1
857,2025-10-25 15:37:52,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",5,True,,7,5,3,2,2
371,2025-08-03 14:37:12,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,24,23,12,11,1
1161,2025-12-17 14:49:33,de,Condition B (WV-34),assistant,Breakfast,"[""Frühstück"", ""Urlaub""]",4,True,,45,43,22,21,2
801,2025-10-11 11:28:41,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück"", ""Urlaub""]",,True,,31,29,15,14,2
538,2025-08-28 15:16:44,en,Condition A (Willi),assistant,Breakfast,"[""Breakfast"", ""Frühstück""]",4,True,,9,7,4,3,2
836,2025-10-19 12:25:15,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",5,True,,15,13,7,6,2
840,2025-10-19 14:04:04,de,Condition A (Willi),assistant,Watches,"[""Uhren"", ""Urlaub""]",,True,,29,27,14,13,2
710,2025-09-23 11:31:42,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",4,True,,9,7,4,3,2
401,2025-08-08 13:57:23,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück"", ""Urlaub""]",,True,,30,29,15,14,1
154,2025-07-04 12:31:59,de,Condition A (Willi),assistant,Vacation,"[""Urlaub""]",,True,,8,7,4,3,1
172,2025-07-06 14:30:02,de,Condition A (Willi),assistant,Breakfast,"[""Frühstück""]",,True,,16,15,8,7,1
