period,pilot_name,dimension,Type,ICC,F,df1,df2,pval,CI95
Before,pilot_1st_0709_6+30,user_engagement_enjoyment,"ICC(1,1)",0.20854271356783924,1.7904761904761908,5,12,0.18930871506935304,[-0.22  0.78]
Before,pilot_1st_0709_6+30,user_engagement_enjoyment,"ICC(A,1)",0.2808219178082193,2.8923076923076945,5,10,0.07190702465474871,[-0.07  0.79]
Before,pilot_1st_0709_6+30,user_engagement_enjoyment,"ICC(C,1)",0.3867924528301889,2.8923076923076945,5,10,0.07190702465474871,[-0.12  0.86]
Before,pilot_1st_0709_6+30,user_engagement_enjoyment,"ICC(1,k)",0.44148936170212777,1.7904761904761908,5,12,0.18930871506935304,[-1.17  0.91]
Before,pilot_1st_0709_6+30,user_engagement_enjoyment,"ICC(A,k)",0.5394736842105264,2.8923076923076945,5,10,0.07190702465474871,[-0.23  0.92]
Before,pilot_1st_0709_6+30,user_engagement_enjoyment,"ICC(C,k)",0.6542553191489363,2.8923076923076945,5,10,0.07190702465474871,[-0.46  0.95]
Before,pilot_1st_0709_6+30,user_self_disclosure,"ICC(1,1)",0.3861209964412812,2.8869565217391306,5,12,0.06145627376755243,[-0.09  0.86]
Before,pilot_1st_0709_6+30,user_self_disclosure,"ICC(A,1)",0.4072164948453609,3.494736842105264,5,10,0.04366664783351892,[-0.03  0.86]
Before,pilot_1st_0709_6+30,user_self_disclosure,"ICC(C,1)",0.45402298850574724,3.494736842105264,5,10,0.04366664783351892,[-0.06  0.88]
Before,pilot_1st_0709_6+30,user_self_disclosure,"ICC(1,k)",0.6536144578313253,2.8869565217391306,5,12,0.06145627376755243,[-0.35  0.95]
Before,pilot_1st_0709_6+30,user_self_disclosure,"ICC(A,k)",0.6732954545454546,3.494736842105264,5,10,0.04366664783351892,[-0.1   0.95]
Before,pilot_1st_0709_6+30,user_self_disclosure,"ICC(C,k)",0.7138554216867471,3.494736842105264,5,10,0.04366664783351892,[-0.21  0.96]
Before,pilot_1st_0709_6+30,user_topical_alignment,"ICC(1,1)",0.33431952662721914,2.5066666666666677,5,12,0.08922414853725227,[-0.13  0.84]
Before,pilot_1st_0709_6+30,user_topical_alignment,"ICC(A,1)",0.431818181818182,11.058823529411786,5,10,0.0008055584306263704,[0.   0.86]
Before,pilot_1st_0709_6+30,user_topical_alignment,"ICC(C,1)",0.7702702702702705,11.058823529411786,5,10,0.0008055584306263704,[0.35 0.96]
Before,pilot_1st_0709_6+30,user_topical_alignment,"ICC(1,k)",0.6010638297872343,2.5066666666666677,5,12,0.08922414853725227,[-0.55  0.94]
Before,pilot_1st_0709_6+30,user_topical_alignment,"ICC(A,k)",0.6951219512195123,11.058823529411786,5,10,0.0008055584306263704,[0.   0.95]
Before,pilot_1st_0709_6+30,user_topical_alignment,"ICC(C,k)",0.9095744680851066,11.058823529411786,5,10,0.0008055584306263704,[0.62 0.99]
Before,pilot_1st_0709_6+30,user_elaboration_informativeness,"ICC(1,1)",0.07284768211920516,1.2357142857142853,5,12,0.35156694083585466,[-0.29  0.7 ]
Before,pilot_1st_0709_6+30,user_elaboration_informativeness,"ICC(A,1)",0.15662650602409628,1.8210526315789468,5,10,0.19632528451698902,[-0.14  0.71]
Before,pilot_1st_0709_6+30,user_elaboration_informativeness,"ICC(C,1)",0.21487603305785113,1.8210526315789468,5,10,0.19632528451698902,[-0.23  0.79]
Before,pilot_1st_0709_6+30,user_elaboration_informativeness,"ICC(1,k)",0.19075144508670488,1.2357142857142853,5,12,0.35156694083585466,[-2.15  0.88]
Before,pilot_1st_0709_6+30,user_elaboration_informativeness,"ICC(A,k)",0.3577981651376145,1.8210526315789468,5,10,0.19632528451698902,[-0.57  0.88]
Before,pilot_1st_0709_6+30,user_elaboration_informativeness,"ICC(C,k)",0.4508670520231212,1.8210526315789468,5,10,0.19632528451698902,[-1.33  0.92]
Before,pilot_1st_0709_6+30,user_initiative_active_contribution,"ICC(1,1)",9.516197353929914e-17,1.0000000000000002,5,12,0.458196699514247,[-0.33  0.65]
Before,pilot_1st_0709_6+30,user_initiative_active_contribution,"ICC(A,1)",0.08496732026143804,1.386138613861387,5,10,0.3081148603089482,[-0.18  0.66]
Before,pilot_1st_0709_6+30,user_initiative_active_contribution,"ICC(C,1)",0.11403508771929845,1.386138613861387,5,10,0.3081148603089482,[-0.29  0.73]
Before,pilot_1st_0709_6+30,user_initiative_active_contribution,"ICC(1,k)",2.8548592061789737e-16,1.0000000000000002,5,12,0.458196699514247,[-2.89  0.85]
Before,pilot_1st_0709_6+30,user_initiative_active_contribution,"ICC(A,k)",0.21787709497206734,1.386138613861387,5,10,0.3081148603089482,[-0.88  0.85]
Before,pilot_1st_0709_6+30,user_initiative_active_contribution,"ICC(C,k)",0.27857142857142897,1.386138613861387,5,10,0.3081148603089482,[-2.06  0.89]
Before,pilot_1st_0709_6+30,user_politeness,"ICC(1,1)",0.20253164556962028,1.761904761904762,5,12,0.1953232067301123,[-0.22  0.78]
Before,pilot_1st_0709_6+30,user_politeness,"ICC(A,1)",0.22222222222222227,1.9473684210526319,5,10,0.17297943652472594,[-0.18  0.78]
Before,pilot_1st_0709_6+30,user_politeness,"ICC(C,1)",0.24000000000000005,1.9473684210526319,5,10,0.17297943652472594,[-0.22  0.8 ]
Before,pilot_1st_0709_6+30,user_politeness,"ICC(1,k)",0.43243243243243246,1.761904761904762,5,12,0.1953232067301123,[-1.21  0.91]
Before,pilot_1st_0709_6+30,user_politeness,"ICC(A,k)",0.46153846153846156,1.9473684210526319,5,10,0.17297943652472594,[-0.83  0.91]
