participant_id,study_id,session_id,dialog_id,phase,language,subject,condition,submitted_at_utc,free_comment,user_engagement_enjoyment,user_self_disclosure,user_topical_alignment,user_elaboration_informativeness,user_initiative_active_contribution,user_politeness,user_frustration_dissatisfaction,overall_conversational_interaction_quality
ceci,,,1349,training,English,Watches,Condition B (WV-34),2026-07-09T09:30:42+00:00,,4,4,4,4,3,3,2,
ceci,,,614,training,English,Vacation,Condition A (Willi),2026-07-09T09:34:34+00:00,,4,5,4,4,3,3,4,
ceci,,,507,training,English,Breakfast,Condition A (Willi),2026-07-09T09:34:59+00:00,,1,1,3,1,2,1,3,
ceci,,,732,training,English,Breakfast,Condition A (Willi),2026-07-09T09:38:30+00:00,,4,5,4,4,4,5,2,
334,,,1349,training,English,Watches,Condition B (WV-34),2026-07-09T09:39:17+00:00,,3,3,3,3,4,3,3,
ceci,,,926,training,English,Watches,Condition B (WV-34),2026-07-09T09:40:01+00:00,,4,1,2,5,4,4,3,
334,,,614,training,English,Vacation,Condition A (Willi),2026-07-09T09:41:05+00:00,,2,2,3,2,1,2,2,
334,,,507,training,English,Breakfast,Condition A (Willi),2026-07-09T09:42:16+00:00,,1,1,1,1,1,1,5,
ceci,,,888,training,English,Vacation,Condition A (Willi),2026-07-09T09:42:31+00:00,,3,1,4,2,4,2,3,
ceci,,,666,main,English,Watches,Condition A (Willi),2026-07-09T09:44:00+00:00,,4,5,4,5,4,3,2,
334,,,732,training,English,Breakfast,Condition A (Willi),2026-07-09T09:44:29+00:00,,4,3,3,3,4,3,3,
334,,,926,training,English,Watches,Condition B (WV-34),2026-07-09T09:45:23+00:00,,2,1,1,2,2,2,5,
334,,,888,training,English,Vacation,Condition A (Willi),2026-07-09T09:45:56+00:00,,3,1,2,1,1,2,5,
334,,,1107,main,English,Watches,Condition B (WV-34),2026-07-09T09:47:55+00:00,,2,2,4,2,2,3,3,
334,,,751,main,English,Watches,Condition A (Willi),2026-07-09T09:49:59+00:00,,2,2,1,1,2,2,3,
ceci,,,999,main,English,Vacation,Condition B (WV-34),2026-07-09T09:50:20+00:00,,3,4,4,5,5,4,4,
4321,,,1349,training,English,Watches,Condition B (WV-34),2026-07-09T09:50:53+00:00,,3,3,3,3,3,4,2,
334,,,913,main,English,Watches,Condition B (WV-34),2026-07-09T09:50:55+00:00,,1,3,3,1,2,2,3,
4321,,,614,training,English,Vacation,Condition A (Willi),2026-07-09T09:51:56+00:00,,2,2,2,2,2,3,4,
ceci,,,1289,main,English,Breakfast,Condition B (WV-34),2026-07-09T09:52:03+00:00,,3,2,4,4,3,2,3,
ceci,,,434,main,English,Breakfast,Condition A (Willi),2026-07-09T09:52:57+00:00,,4,5,4,5,3,3,3,
334,,,392,main,English,Vacation,Condition A (Willi),2026-07-09T09:53:06+00:00,,4,2,3,2,3,2,3,
4321,,,507,training,English,Breakfast,Condition A (Willi),2026-07-09T09:54:36+00:00,"There is barely any conversation to rate, we can filter these conversation. I have rated very low in all of these.",1,1,1,1,1,1,1,
334,,,934,main,English,Breakfast,Condition B (WV-34),2026-07-09T09:55:12+00:00,,4,3,4,3,4,3,3,
ceci,,,532,main,English,Breakfast,Condition A (Willi),2026-07-09T09:55:25+00:00,,4,5,4,4,4,4,2,
334,,,819,main,English,Watches,Condition A (Willi),2026-07-09T09:56:17+00:00,,3,4,5,3,3,3,2,
ceci,,,731,main,English,Vacation,Condition A (Willi),2026-07-09T09:56:33+00:00,,3,3,4,3,2,3,2,
4321,,,732,training,English,Breakfast,Condition A (Willi),2026-07-09T09:57:05+00:00,,1,1,2,1,1,1,5,
334,,,1197,main,English,Vacation,Condition B (WV-34),2026-07-09T09:57:44+00:00,,3,2,2,2,2,3,3,
4321,,,926,training,English,Watches,Condition B (WV-34),2026-07-09T09:58:36+00:00,,1,1,1,1,1,1,5,
ceci,,,833,main,English,Breakfast,Condition A (Willi),2026-07-09T09:58:56+00:00,,4,4,4,4,3,3,3,
ceci,,,1382,main,English,Watches,Condition B (WV-34),2026-07-09T09:59:44+00:00,,4,1,1,2,4,1,4,
ceci,,,605,main,English,Breakfast,Condition A (Willi),2026-07-09T10:00:46+00:00,,3,4,4,4,5,2,5,
4321,,,888,training,English,Vacation,Condition A (Willi),2026-07-09T10:01:05+00:00,"Rating on the base of two dialogues, too small conversation. Also, seems like it was cut in the end.",3,2,3,3,3,2,3,
334,,,1255,main,English,Watches,Condition B (WV-34),2026-07-09T10:01:53+00:00,,5,3,2,3,4,4,1,
334,,,460,main,English,Vacation,Condition A (Willi),2026-07-09T10:02:31+00:00,,2,3,5,2,3,3,4,
334,,,935,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:03:43+00:00,,2,1,2,1,2,3,4,
4321,,,1000,main,English,Vacation,Condition B (WV-34),2026-07-09T10:03:46+00:00,Very small convo,2,2,2,2,2,2,4,
334,,,1124,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:04:11+00:00,,2,1,1,2,1,3,4,
334,,,498,main,English,Watches,Condition A (Willi),2026-07-09T10:04:53+00:00,,3,3,4,2,2,3,4,
334,,,1030,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:05:31+00:00,,3,3,5,2,3,3,3,
4321,,,519,main,English,Watches,Condition A (Willi),2026-07-09T10:05:33+00:00,,3,2,2,2,2,3,2,
