dimension,Type,ICC,F,df1,df2,pval,CI95
user_engagement_enjoyment,"ICC(1,1)",0.4076787067441273,3.0648187633262265,35,72,2.9567935700918186e-05,[0.2  0.61]
user_engagement_enjoyment,"ICC(A,1)",0.4393975615586899,4.295875672444712,35,70,1.0774648565181498e-07,[0.2  0.65]
user_engagement_enjoyment,"ICC(C,1)",0.5234975790373114,4.295875672444712,35,70,1.0774648565181498e-07,[0.33 0.7 ]
user_engagement_enjoyment,"ICC(1,k)",0.6737164324474746,3.0648187633262265,35,72,2.9567935700918186e-05,[0.43 0.82]
user_engagement_enjoyment,"ICC(A,k)",0.7016159816770581,4.295875672444712,35,70,1.0774648565181498e-07,[0.43 0.85]
user_engagement_enjoyment,"ICC(C,k)",0.7672185891192431,4.295875672444712,35,70,1.0774648565181498e-07,[0.6  0.87]
user_self_disclosure,"ICC(1,1)",0.46345524487569634,3.5913322632423776,35,72,2.246655664543588e-06,[0.26 0.65]
user_self_disclosure,"ICC(A,1)",0.47408407901401345,4.048859934853423,35,70,3.2366112865114085e-07,[0.27 0.66]
user_self_disclosure,"ICC(C,1)",0.5040387722132474,4.048859934853423,35,70,3.2366112865114085e-07,[0.31 0.68]
user_self_disclosure,"ICC(1,k)",0.721551801197819,3.5913322632423776,35,72,2.246655664543588e-06,[0.52 0.85]
user_self_disclosure,"ICC(A,k)",0.730045931189878,4.048859934853423,35,70,3.2366112865114085e-07,[0.53 0.85]
user_self_disclosure,"ICC(C,k)",0.7530168946098151,4.048859934853423,35,70,3.2366112865114085e-07,[0.57 0.87]
user_topical_alignment,"ICC(1,1)",0.40861729090397064,3.0728571428571416,35,72,2.840488308012609e-05,[0.21 0.61]
user_topical_alignment,"ICC(A,1)",0.44017914267434405,4.303721488595436,35,70,1.0409270955185248e-07,[0.2  0.65]
user_topical_alignment,"ICC(C,1)",0.5240906494001141,4.303721488595436,35,70,1.0409270955185248e-07,[0.33 0.7 ]
user_topical_alignment,"ICC(1,k)",0.6745699674569967,3.0728571428571416,35,72,2.840488308012609e-05,[0.44 0.82]
user_topical_alignment,"ICC(A,k)",0.7022796869683564,4.303721488595436,35,70,1.0409270955185248e-07,[0.43 0.85]
user_topical_alignment,"ICC(C,k)",0.7676429567642955,4.303721488595436,35,70,1.0409270955185248e-07,[0.6  0.87]
user_elaboration_informativeness,"ICC(1,1)",0.21324260264546235,1.8131195335276975,35,72,0.016882946365348234,[0.02 0.44]
user_elaboration_informativeness,"ICC(A,1)",0.28660565723793685,2.9827338129496415,35,70,5.02662801272084e-05,[0.06 0.51]
user_elaboration_informativeness,"ICC(C,1)",0.3979208778515739,2.9827338129496415,35,70,5.02662801272084e-05,[0.19 0.6 ]
user_elaboration_informativeness,"ICC(1,k)",0.44846438334137345,1.8131195335276975,35,72,0.016882946365348234,[0.04 0.7 ]
user_elaboration_informativeness,"ICC(A,k)",0.5465362242199896,2.9827338129496415,35,70,5.02662801272084e-05,[0.17 0.76]
user_elaboration_informativeness,"ICC(C,k)",0.664737095996141,2.9827338129496415,35,70,5.02662801272084e-05,[0.42 0.82]
user_initiative_active_contribution,"ICC(1,1)",0.1723147193163401,1.6245660881174901,35,72,0.04178425977746623,[-0.02  0.4 ]
user_initiative_active_contribution,"ICC(A,1)",0.2135657286854263,2.00593471810089,35,70,0.006765863710047454,[0.03 0.43]
user_initiative_active_contribution,"ICC(C,1)",0.2511111111111111,2.00593471810089,35,70,0.006765863710047454,[0.05 0.47]
user_initiative_active_contribution,"ICC(1,k)",0.3844510190664037,1.6245660881174901,35,72,0.04178425977746623,[-0.07  0.66]
user_initiative_active_contribution,"ICC(A,k)",0.44894055326662746,2.00593471810089,35,70,0.006765863710047454,[0.09 0.69]
user_initiative_active_contribution,"ICC(C,k)",0.5014792899408284,2.00593471810089,35,70,0.006765863710047454,[0.13 0.73]
user_politeness,"ICC(1,1)",0.0438559765543228,1.1376026272577997,35,72,0.3166579725681485,[-0.13  0.27]
user_politeness,"ICC(A,1)",0.12298387096774192,1.58680714612918,35,70,0.0508869877257509,[-0.03  0.32]
user_politeness,"ICC(C,1)",0.1636015325670498,1.58680714612918,35,70,0.0508869877257509,[-0.03  0.39]
user_politeness,"ICC(1,k)",0.12095842956120094,1.1376026272577997,35,72,0.3166579725681485,[-0.52  0.52]
user_politeness,"ICC(A,k)",0.2961165048543689,1.58680714612918,35,70,0.0508869877257509,[-0.09  0.58]
user_politeness,"ICC(C,k)",0.36980369515011546,1.58680714612918,35,70,0.0508869877257509,[-0.1   0.66]
user_frustration_dissatisfaction,"ICC(1,1)",0.10025706940874024,1.3342857142857139,35,72,0.15068993102410236,[-0.08  0.33]
user_frustration_dissatisfaction,"ICC(A,1)",0.10511363636363626,1.3588748787584866,35,70,0.13765376093964368,[-0.08  0.33]
user_frustration_dissatisfaction,"ICC(C,1)",0.10684377707190287,1.3588748787584866,35,70,0.13765376093964368,[-0.08  0.33]
user_frustration_dissatisfaction,"ICC(1,k)",0.2505353319057813,1.3342857142857139,35,72,0.15068993102410236,[-0.3   0.59]
user_frustration_dissatisfaction,"ICC(A,k)",0.26056338028168996,1.3588748787584866,35,70,0.13765376093964368,[-0.27  0.6 ]
user_frustration_dissatisfaction,"ICC(C,k)",0.26409707351891487,1.3588748787584866,35,70,0.13765376093964368,[-0.28  0.6 ]
