dialog_id,dimension,rater_21,rater_22,rater_23,range,std
821,user_initiative_active_contribution,1.0,3.0,5.0,4.0,2.0
1134,user_initiative_active_contribution,1.0,2.0,5.0,4.0,2.081665999466133
732,user_politeness,2.0,2.0,5.0,3.0,1.7320508075688772
926,user_politeness,1.0,2.0,4.0,3.0,1.5275252316519465
926,user_initiative_active_contribution,1.0,3.0,4.0,3.0,1.5275252316519465
1137,user_initiative_active_contribution,1.0,1.0,4.0,3.0,1.7320508075688772
662,user_frustration_dissatisfaction,2.0,2.0,5.0,3.0,1.7320508075688772
1156,user_initiative_active_contribution,4.0,2.0,1.0,3.0,1.5275252316519465
888,user_topical_alignment,1.0,2.0,4.0,3.0,1.5275252316519465
1156,user_frustration_dissatisfaction,1.0,3.0,1.0,2.0,1.1547005383792517
1412,user_frustration_dissatisfaction,1.0,3.0,1.0,2.0,1.1547005383792517
396,overall_conversational_interaction_quality,3.0,5.0,4.0,2.0,1.0
888,user_frustration_dissatisfaction,5.0,3.0,3.0,2.0,1.1547005383792515
661,user_frustration_dissatisfaction,1.0,2.0,3.0,2.0,1.0
507,user_frustration_dissatisfaction,3.0,1.0,1.0,2.0,1.1547005383792517
757,user_politeness,3.0,3.0,5.0,2.0,1.1547005383792515
1097,user_politeness,3.0,4.0,5.0,2.0,1.0
1101,user_politeness,3.0,4.0,5.0,2.0,1.0
1147,user_frustration_dissatisfaction,3.0,2.0,1.0,2.0,1.0
926,overall_conversational_interaction_quality,1.0,2.0,3.0,2.0,1.0
1156,user_engagement_enjoyment,2.0,3.0,1.0,2.0,1.0
936,overall_conversational_interaction_quality,3.0,4.0,5.0,2.0,1.0
926,user_engagement_enjoyment,2.0,4.0,3.0,2.0,1.0
1041,user_engagement_enjoyment,2.0,3.0,4.0,2.0,1.0
662,user_politeness,2.0,2.0,4.0,2.0,1.1547005383792515
534,user_politeness,5.0,3.0,4.0,2.0,1.0
507,user_politeness,5.0,3.0,3.0,2.0,1.1547005383792515
1288,user_initiative_active_contribution,1.0,3.0,1.0,2.0,1.1547005383792517
662,user_self_disclosure,2.0,2.0,4.0,2.0,1.1547005383792515
534,user_self_disclosure,5.0,3.0,3.0,2.0,1.1547005383792515
874,user_initiative_active_contribution,1.0,3.0,1.0,2.0,1.1547005383792517
1097,user_initiative_active_contribution,4.0,2.0,4.0,2.0,1.1547005383792515
534,user_initiative_active_contribution,4.0,2.0,3.0,2.0,1.0
614,user_initiative_active_contribution,1.0,3.0,3.0,2.0,1.1547005383792515
