dimension,Type,ICC,F,df1,df2,pval,CI95
user_engagement_enjoyment,"ICC(1,1)",0.705607476635514,8.190476190476195,35,72,4.0272462818148976e-14,[0.55 0.82]
user_engagement_enjoyment,"ICC(A,1)",0.7103755569700828,9.841549295774653,35,70,6.079296132487901e-16,[0.54 0.83]
user_engagement_enjoyment,"ICC(C,1)",0.7466547725245318,9.841549295774653,35,70,6.079296132487901e-16,[0.61 0.85]
user_engagement_enjoyment,"ICC(1,k)",0.877906976744186,8.190476190476195,35,72,4.0272462818148976e-14,[0.79 0.93]
user_engagement_enjoyment,"ICC(A,k)",0.8803576124112544,9.841549295774653,35,70,6.079296132487901e-16,[0.78 0.94]
user_engagement_enjoyment,"ICC(C,k)",0.8983899821109125,9.841549295774653,35,70,6.079296132487901e-16,[0.82 0.94]
user_self_disclosure,"ICC(1,1)",0.784457478005865,11.918367346938764,35,72,1.593683212918838e-18,[0.66 0.87]
user_self_disclosure,"ICC(A,1)",0.7847856640899505,12.176814011676385,35,70,1.8859103998284512e-18,[0.66 0.87]
user_self_disclosure,"ICC(C,1)",0.7883868690434166,12.176814011676385,35,70,1.8859103998284512e-18,[0.67 0.88]
user_self_disclosure,"ICC(1,k)",0.9160958904109588,11.918367346938764,35,72,1.593683212918838e-18,[0.85 0.95]
user_self_disclosure,"ICC(A,k)",0.9162450430739777,12.176814011676385,35,70,1.8859103998284512e-18,[0.85 0.95]
user_self_disclosure,"ICC(C,k)",0.917876712328767,12.176814011676385,35,70,1.8859103998284512e-18,[0.86 0.96]
user_topical_alignment,"ICC(1,1)",0.7350666447260162,9.323602484472055,35,72,1.367156361377924e-15,[0.59 0.84]
user_topical_alignment,"ICC(A,1)",0.7396507115135836,11.6454615981381,35,70,6.48334352804422e-18,[0.57 0.85]
user_topical_alignment,"ICC(C,1)",0.7801466825857072,11.6454615981381,35,70,6.48334352804422e-18,[0.66 0.87]
user_topical_alignment,"ICC(1,k)",0.8927453200985944,9.323602484472055,35,72,1.367156361377924e-15,[0.81 0.94]
user_topical_alignment,"ICC(A,k)",0.8949908687711976,11.6454615981381,35,70,6.48334352804422e-18,[0.8  0.95]
user_topical_alignment,"ICC(C,k)",0.9141296382652723,11.6454615981381,35,70,6.48334352804422e-18,[0.85 0.95]
user_elaboration_informativeness,"ICC(1,1)",0.8315407926793034,15.808465608465587,35,72,4.1559063869657877e-22,[0.73 0.9 ]
user_elaboration_informativeness,"ICC(A,1)",0.8329798515376458,18.673749999999973,35,70,7.758162028025568e-24,[0.72 0.91]
user_elaboration_informativeness,"ICC(C,1)",0.8548884454924721,18.673749999999973,35,70,7.758162028025568e-24,[0.76 0.92]
user_elaboration_informativeness,"ICC(1,k)",0.9367427538657205,15.808465608465587,35,72,4.1559063869657877e-22,[0.89 0.97]
user_elaboration_informativeness,"ICC(A,k)",0.9373508353221955,18.673749999999973,35,70,7.758162028025568e-24,[0.88 0.97]
user_elaboration_informativeness,"ICC(C,k)",0.9464488921614564,18.673749999999973,35,70,7.758162028025568e-24,[0.91 0.97]
user_initiative_active_contribution,"ICC(1,1)",0.2641228939544104,2.0767676767676773,35,72,0.0045163224558401995,[0.06 0.48]
user_initiative_active_contribution,"ICC(A,1)",0.2908309455587394,2.453460620525061,35,70,0.0007114427835385186,[0.1 0.5]
user_initiative_active_contribution,"ICC(C,1)",0.3263665594855307,2.453460620525061,35,70,0.0007114427835385186,[0.12 0.54]
user_initiative_active_contribution,"ICC(1,k)",0.5184824902723737,2.0767676767676773,35,72,0.0045163224558401995,[0.17 0.74]
user_initiative_active_contribution,"ICC(A,k)",0.5516304347826089,2.453460620525061,35,70,0.0007114427835385186,[0.24 0.75]
user_initiative_active_contribution,"ICC(C,k)",0.5924124513618679,2.453460620525061,35,70,0.0007114427835385186,[0.29 0.78]
user_politeness,"ICC(1,1)",0.35764705882352926,2.6703296703296693,35,72,0.00021697194883152812,[0.15 0.57]
user_politeness,"ICC(A,1)",0.37777777777777766,3.1456310679611637,35,70,2.2584354260846162e-05,[0.17 0.58]
user_politeness,"ICC(C,1)",0.41698113207547155,3.1456310679611637,35,70,2.2584354260846162e-05,[0.21 0.61]
user_politeness,"ICC(1,k)",0.6255144032921809,2.6703296703296693,35,72,0.00021697194883152812,[0.35 0.8 ]
user_politeness,"ICC(A,k)",0.6455696202531644,3.1456310679611637,35,70,2.2584354260846162e-05,[0.39 0.81]
user_politeness,"ICC(C,k)",0.6820987654320987,3.1456310679611637,35,70,2.2584354260846162e-05,[0.45 0.83]
user_frustration_dissatisfaction,"ICC(1,1)",0.4915254237288128,3.899999999999992,35,72,5.228690634980423e-07,[0.29 0.67]
user_frustration_dissatisfaction,"ICC(A,1)",0.49835771872200585,4.240776699029116,35,70,1.3738884764953429e-07,[0.3  0.68]
user_frustration_dissatisfaction,"ICC(C,1)",0.519290603609209,4.240776699029116,35,70,1.3738884764953429e-07,[0.32 0.69]
user_frustration_dissatisfaction,"ICC(1,k)",0.7435897435897431,3.899999999999992,35,72,5.228690634980423e-07,[0.56 0.86]
user_frustration_dissatisfaction,"ICC(A,k)",0.7487662628981602,4.240776699029116,35,70,1.3738884764953429e-07,[0.57 0.86]
user_frustration_dissatisfaction,"ICC(C,k)",0.7641941391941387,4.240776699029116,35,70,1.3738884764953429e-07,[0.59 0.87]
overall_conversational_interaction_quality,"ICC(1,1)",0.7471690745802426,9.865637065637085,35,72,3.001557380310168e-16,[0.61 0.85]
overall_conversational_interaction_quality,"ICC(A,1)",0.7512963318609568,12.284615384615414,35,70,1.4755207189216404e-18,[0.58 0.86]
overall_conversational_interaction_quality,"ICC(C,1)",0.7899838449111475,12.284615384615414,35,70,1.4755207189216404e-18,[0.67 0.88]
overall_conversational_interaction_quality,"ICC(1,k)",0.898638071383845,9.865637065637085,35,72,3.001557380310168e-16,[0.82 0.94]
overall_conversational_interaction_quality,"ICC(A,k)",0.9006215946588905,12.284615384615414,35,70,1.4755207189216404e-18,[0.81 0.95]
overall_conversational_interaction_quality,"ICC(C,k)",0.9185973700688793,12.284615384615414,35,70,1.4755207189216404e-18,[0.86 0.96]
