participant_id,study_id,session_id,dialog_id,phase,language,subject,condition,submitted_at_utc,free_comment,user_engagement_enjoyment,user_self_disclosure,user_topical_alignment,user_elaboration_informativeness,user_initiative_active_contribution,user_politeness,user_frustration_dissatisfaction,overall_conversational_interaction_quality
023,,,1349,training,English,Watches,Condition B (WV-34),2026-07-16T08:21:18+00:00,,5,5,5,5,4,4,1,5.0
023,,,614,training,English,Vacation,Condition A (Willi),2026-07-16T08:27:36+00:00,,3,3,3,4,3,3,1,4.0
023,,,507,training,English,Breakfast,Condition A (Willi),2026-07-16T08:28:39+00:00,,2,1,3,2,1,3,1,1.0
023,,,732,training,English,Breakfast,Condition A (Willi),2026-07-16T08:31:30+00:00,,5,4,4,4,3,5,2,4.0
023,,,926,training,English,Watches,Condition B (WV-34),2026-07-16T08:35:21+00:00,,3,1,2,1,4,4,5,3.0
023,,,888,training,English,Vacation,Condition A (Willi),2026-07-16T08:38:58+00:00,,2,1,4,2,2,2,3,2.0
023,,,515,main,English,Breakfast,Condition A (Willi),2026-07-16T08:39:44+00:00,,1,1,3,2,2,3,1,1.0
022,,,1349,training,English,Watches,Condition B (WV-34),2026-07-16T08:42:10+00:00,,5,4,3,4,3,3,2,4.0
023,,,1041,main,English,Watches,Condition B (WV-34),2026-07-16T08:42:27+00:00,,4,3,4,3,3,3,2,3.0
023,,,1140,main,English,Vacation,Condition B (WV-34),2026-07-16T08:43:40+00:00,,3,3,4,3,2,3,1,3.0
023,,,662,main,English,Watches,Condition A (Willi),2026-07-16T08:46:09+00:00,,4,4,5,3,4,4,5,3.0
023,,,729,main,English,Vacation,Condition A (Willi),2026-07-16T08:47:00+00:00,,1,1,3,1,1,3,1,1.0
022,,,614,training,English,Vacation,Condition A (Willi),2026-07-16T08:47:39+00:00,,3,3,3,3,3,2,2,2.0
023,,,847,main,English,Watches,Condition A (Willi),2026-07-16T08:48:22+00:00,transcription artifact,1,1,1,1,1,3,1,2.0
023,,,1332,main,English,Vacation,Condition B (WV-34),2026-07-16T08:49:07+00:00,,5,5,5,5,4,5,1,5.0
022,,,507,training,English,Breakfast,Condition A (Willi),2026-07-16T08:49:41+00:00,,1,1,2,1,1,3,1,1.0
023,,,821,main,English,Off-topic,Condition A (Willi),2026-07-16T08:50:19+00:00,,3,1,1,2,5,4,1,3.0
023,,,644,main,English,Breakfast,Condition A (Willi),2026-07-16T08:51:33+00:00,,4,3,4,3,2,3,1,3.0
022,,,732,training,English,Breakfast,Condition A (Willi),2026-07-16T08:51:37+00:00,,5,4,3,5,4,2,3,3.0
023,,,534,main,English,Breakfast,Condition A (Willi),2026-07-16T08:53:00+00:00,,4,3,4,4,3,4,1,4.0
023,,,820,main,English,Watches,Condition A (Willi),2026-07-16T08:54:32+00:00,,4,3,4,4,4,3,2,4.0
022,,,926,training,English,Watches,Condition B (WV-34),2026-07-16T08:54:59+00:00,,4,2,1,1,3,2,4,2.0
023,,,396,main,English,Watches,Condition A (Willi),2026-07-16T08:55:59+00:00,billy name,4,3,4,3,2,5,1,4.0
023,,,1134,main,English,Watches,Condition B (WV-34),2026-07-16T08:56:54+00:00,,2,1,1,1,5,4,1,2.0
022,,,888,training,English,Vacation,Condition A (Willi),2026-07-16T08:57:17+00:00,,2,1,2,2,3,2,3,1.0
023,,,1097,main,English,Vacation,Condition B (WV-34),2026-07-16T08:57:39+00:00,,4,5,5,5,4,5,1,5.0
023,,,1101,main,English,Vacation,Condition B (WV-34),2026-07-16T08:58:55+00:00,name,4,4,4,4,3,5,2,3.0
022,,,528,main,English,Vacation,Condition A (Willi),2026-07-16T09:00:01+00:00,,2,2,3,1,2,3,2,2.0
023,,,757,main,English,Vacation,Condition A (Willi),2026-07-16T09:01:07+00:00,,4,4,4,3,3,5,1,4.0
023,,,873,main,English,Watches,Condition A (Willi),2026-07-16T09:01:37+00:00,,3,2,3,2,2,3,1,2.0
023,,,1137,main,English,Vacation,Condition B (WV-34),2026-07-16T09:02:53+00:00,,2,1,1,1,4,3,1,2.0
023,,,1029,main,English,Vacation,Condition B (WV-34),2026-07-16T09:03:42+00:00,,3,2,2,2,2,3,1,2.0
022,,,1412,main,English,Watches,Condition B (WV-34),2026-07-16T09:04:22+00:00,,2,1,4,2,2,3,3,2.0
023,,,1288,main,English,Off-topic,Condition B (WV-34),2026-07-16T09:04:28+00:00,,2,1,1,1,1,3,1,2.0
023,,,874,main,English,Vacation,Condition A (Willi),2026-07-16T09:05:15+00:00,,1,1,2,1,1,3,1,1.0
022,,,1156,main,English,Vacation,Condition B (WV-34),2026-07-16T09:05:19+00:00,,3,2,4,2,2,4,3,2.0
023,,,1147,main,English,Vacation,Condition B (WV-34),2026-07-16T09:06:02+00:00,,2,2,2,2,2,1,1,2.0
023,,,936,main,English,Vacation,Condition B (WV-34),2026-07-16T09:07:02+00:00,,4,5,5,5,4,3,1,5.0
022,,,844,main,English,Breakfast,Condition A (Willi),2026-07-16T09:07:22+00:00,,4,1,1,1,4,4,1,1.0
023,,,651,main,English,Vacation,Condition A (Willi),2026-07-16T09:08:35+00:00,,3,2,3,2,2,3,1,3.0
023,,,646,main,English,Vacation,Condition A (Willi),2026-07-16T09:09:00+00:00,,3,3,3,3,3,3,1,3.0
